"SurveyResponseID","AnswerNumber","TechnologyUses"
3557664,141,"General information about the region you were in"
3557693,123,"Information about Maori culture / cultural activities"
3557693,124,"Directions"
3557603,127,"Internet access"
3557603,128,"Compare prices / find deals"
3557603,126,"Maps"
3557603,129,"General information about a different region"
3557603,130,"Accommodation in a different region"
3557603,125,"Weather information"
3557603,131,"Transport/ travel options around New Zealand"
3557289,140,"Weather information"
3557664,144,"Weather information"
3557664,148,"Overview of NZ regions"
3557289,141,"Maps"
3557664,143,"Access to resources to assist you to plan"
3557289,142,"Directions"
3557664,146,"Information about Maori culture / cultural activities"
3557664,150,"Information about amenities/services for the town you were in"
3557664,152,"Transport/ travel options around New Zealand"
3557664,145,"Maps"
3557664,149,"General information about a different region"
3557664,151,"Accommodation in a different region"
3557305,113,"None of these"
3557603,124,"Check/confirm existing travel plans"
3557603,132,"Flights within New Zealand"
3557289,143,"Flights within New Zealand"
3557289,144,"Attractions / Activities"
3557289,145,"Suggested itineraries"
3557664,153,"Event information"
3557664,147,"Directions"
3557608,128,"General information about the region you were in"
3557323,122,"Internet access"
3557702,117,"Information about Maori culture / cultural activities"
3557664,154,"Attractions / Activities"
3557608,129,"Check/confirm existing travel plans"
3557702,115,"Check/confirm existing travel plans"
3557702,118,"Directions"
3557338,105,"Directions"
3557665,139,"Event information"
3557608,131,"Internet access"
3557608,132,"Information about Maori culture / cultural activities"
3557665,136,"Internet access"
3557665,137,"Directions"
3557340,102,"Compare prices / find deals"
3557665,140,"Attractions / Activities"
3557608,130,"Weather information"
3557323,121,"Maps"
3557702,116,"Maps"
3557665,133,"Access to resources to assist you to plan"
3557665,135,"Maps"
3557340,103,"General information about a different region"
3557340,104,"Accommodation in a different region"
3557665,134,"Weather information"
3557665,138,"Information about amenities/services for the town you were in"
3557340,101,"Weather information"
3557608,133,"See ratings by other travellers"
3557608,134,"Attractions / Activities"
3557610,160,"Weather information"
3557355,115,"Attractions / Activities"
3557702,120,"Accommodation in the region you were in"
3557702,121,"Suggested itineraries"
3557610,163,"Transport/ travel options around New Zealand"
3557610,164,"Suggested itineraries"
3557680,163,"Weather information"
3557355,114,"Information about Maori culture / cultural activities"
3557666,152,"None of these"
3557610,162,"Directions"
3557680,162,"General information about the region you were in"
3557679,112,"See ratings by other travellers"
3557370,101,"None of these"
3557680,165,"Internet access"
