"SurveyResponseID","AnswerNumber","AirlineUsed","AirlineRating"
3558414,137,"Air New Zealand","8"
3558580,188,"China Southern","8"
3558333,164,"Emirates","7"
3558557,151,"Qantas","6"
3557922,137,"American Airlines","Poor  1"
3558398,105,"Singapore Airlines","8"
3557966,180,"Another airline",NA
3578654,129,"Air New Zealand","9"
3558410,195,"China Southern","7"
3558586,131,"Virgin/Virgin Blue/Pacific Blue","5"
3558006,209,"Another airline",NA
3557986,137,"Singapore Airlines","7"
3558010,160,"China Southern","Excellent  10"
3558394,149,"Emirates","7"
3557982,174,"Another airline",NA
3559834,125,"Emirates","9"
3558592,205,"Another airline",NA
3557970,201,"Emirates","Excellent  10"
3558478,168,"Emirates","9"
3558590,200,"American Airlines","7"
3558426,177,"China Southern","8"
3558438,127,"Another airline",NA
3558446,132,"Air New Zealand","9"
3559874,153,"Qantas","8"
3558442,113,"Qantas","7"
3578650,122,"Qantas","8"
3578666,174,"Not sure",NA
3557994,119,"Emirates","Excellent  10"
3578658,148,"Air New Zealand","5"
3558600,102,"Emirates","5"
3559846,147,"Qantas","8"
3578694,149,"Not sure",NA
3578642,148,"Not sure",NA
3558050,169,"Singapore Airlines","9"
3558002,190,"Air Asia X","9"
3578714,136,"Not sure",NA
3578674,132,"Air New Zealand","8"
3578730,155,"Qantas","9"
3558617,109,"Emirates","Excellent  10"
3558610,140,"Air New Zealand","8"
3558530,132,"Emirates","8"
3558613,157,"Cathay Pacific","8"
3558018,142,"Another airline",NA
3558633,157,"Another airline",NA
3558466,154,"Korean Air","8"
3578646,144,"Not sure",NA
3558526,114,"Korean Air","9"
3578726,154,"Not sure",NA
3558494,152,"Another airline",NA
3558669,145,"Singapore Airlines","9"
3558637,179,"Air Asia X","4"
3578698,138,"Not sure",NA
3578702,133,"Air New Zealand","7"
3578734,126,"Air New Zealand","8"
3558054,167,"Air New Zealand","Excellent  10"
3558038,145,"Qantas","9"
3558030,126,"Qantas","7"
3558614,133,"Qantas","8"
3558546,151,"Singapore Airlines","8"
3578764,156,"Not sure",NA
3578784,156,"Not sure",NA
3558486,171,"Another airline",NA
3578722,127,"Not sure",NA
3578736,131,"Virgin/Virgin Blue/Pacific Blue","Excellent  10"
3558082,122,"Another airline",NA
3558645,157,"Air New Zealand","Excellent  10"
3578752,145,"Air New Zealand","7"
3558653,149,"Air New Zealand","8"
3558080,147,"Air New Zealand","Excellent  10"
3558550,162,"Qantas","8"
3578768,137,"Not sure",NA
3558350,165,"Emirates","8"
3558088,158,"Emirates","9"
3558693,157,"American Airlines","Excellent  10"
3558542,161,"Another airline",NA
3558570,184,"Air New Zealand","9"
3558658,151,"American Airlines","8"
3558701,130,"China Southern","9"
3558100,159,"JetStar","6"
3558713,157,"Another airline",NA
3558098,130,"Qantas","Excellent  10"
3558104,139,"Qantas","Excellent  10"
3558733,103,"Cathay Pacific","9"
3558677,178,"Air New Zealand","7"
3578740,140,"Virgin/Virgin Blue/Pacific Blue","4"
3558086,150,"Air Asia X","8"
3578780,140,"Air New Zealand","Excellent  10"
3558046,180,"Air Asia X","4"
3558538,147,"Emirates","9"
3558092,119,"China Southern","Excellent  10"
3558721,176,"Emirates","Excellent  10"
3578788,144,"Air New Zealand","6"
3558666,115,"Air New Zealand","6"
3578832,146,"Air New Zealand","8"
3578852,141,"Air New Zealand","8"
3558741,104,"Air New Zealand","9"
3557790,193,"Korean Air","9"
3558562,148,"Qantas","9"
3558108,236,"Air New Zealand","Excellent  10"
3558773,116,"Korean Air","Poor  1"
3578796,162,"Virgin/Virgin Blue/Pacific Blue","9"
3558730,180,"American Airlines","8"
3558789,158,"Air New Zealand","6"
3558128,135,"Air New Zealand","8"
3558785,130,"Continental","3"
3578912,142,"Not sure",NA
3578868,167,"JetStar","7"
3558749,109,"Air New Zealand","8"
3558710,139,"Another airline",NA
3578840,154,"Air New Zealand","5"
3578848,160,"JetStar","9"
3558757,139,"Air New Zealand","Excellent  10"
3558698,165,"Another airline",NA
3558622,125,"Emirates","8"
3578880,115,"Emirates","8"
3578800,159,"Not sure",NA
3578876,164,"Virgin/Virgin Blue/Pacific Blue","Excellent  10"
3558745,133,"Air New Zealand","Excellent  10"
3578860,141,"Air New Zealand","Excellent  10"
3558116,177,"Air New Zealand","8"
3578820,148,"Not sure",NA
3578824,160,"Not sure",NA
3578856,151,"Not sure",NA
3558813,161,"Another airline",NA
3558746,111,"Air New Zealand","9"
3558867,150,"Air New Zealand","7"
3558829,192,"Air New Zealand","Excellent  10"
3558777,194,"Singapore Airlines","8"
3558156,129,"Air New Zealand","Excellent  10"
3558144,158,"Singapore Airlines","Excellent  10"
3558702,180,"China Southern","8"
3578872,145,"Air New Zealand","7"
3558718,170,"Emirates","Excellent  10"
3558762,110,"Emirates","9"
3558722,253,"Another airline",NA
3578940,133,"Not sure",NA
3578972,137,"Qantas","7"
3558738,160,"Air New Zealand","Excellent  10"
3558794,142,"Cathay Pacific","8"
3578884,152,"Air New Zealand","8"
3558903,174,"China Southern","8"
3558148,161,"Air New Zealand","Excellent  10"
3578960,127,"Qantas","7"
3558899,155,"Air New Zealand","8"
3578976,130,"Not sure",NA
3558176,239,"Air New Zealand","Excellent  10"
3558943,125,"Qantas","6"
3558846,192,"Singapore Airlines","9"
3558848,185,"Singapore Airlines","7"
3558180,139,"Air New Zealand","8"
3558200,182,"Another airline",NA
3558160,107,"Qantas","9"
3558907,105,"Qantas","9"
3558814,132,"Air New Zealand","Excellent  10"
3558979,182,"Virgin/Virgin Blue/Pacific Blue","8"
3578992,144,"Air New Zealand","7"
3558822,104,"Air New Zealand","8"
3578920,142,"Not sure",NA
3558850,164,"Singapore Airlines","9"
3558212,120,"Another airline",NA
