"SurveyResponseID","AnswerNumber","iSiteUsage"
3557883,96,"Suggested itineraries"
3557897,98,"Maps"
3558579,118,"Maps"
3557889,122,"Maps"
3557889,123,"Internet access"
3557897,97,"Access to resources to assist you to plan"
3558579,117,"Access to resources to assist you to plan"
3558579,119,"Information about Maori culture / cultural activities"
3558096,111,"Directions"
3557889,121,"Access to resources to assist you to plan"
3558579,116,"General information about the region you were in"
3558579,120,"Overview of NZ regions"
3557897,101,"Attractions / Activities"
3557889,120,"General information about the region you were in"
3557889,124,"Compare prices / find deals"
3557889,126,"Attractions / Activities"
3558579,122,"Attractions / Activities"
3557898,94,"General information about the region you were in"
3557890,106,"General information about the region you were in"
3557890,107,"Check/confirm existing travel plans"
3557898,95,"Maps"
3557890,108,"Weather information"
3557890,109,"Internet access"
3557898,96,"Directions"
3557890,110,"General information about a different region"
3557897,99,"Accommodation in the region you were in"
3557897,100,"Event information"
3557889,125,"Information about amenities/services for the town you were in"
3558579,121,"Information about amenities/services for the town you were in"
3557898,97,"Information about amenities/services for the town you were in"
3557898,98,"Transport/ travel options around New Zealand"
3557890,112,"Attractions / Activities"
3558346,92,"Overview of NZ regions"
3557891,108,"General information about the region you were in"
3577631,94,"Maps"
3577631,95,"Internet access"
3557965,69,"To meet other travellers"
3557891,109,"Weather information"
3558378,144,"Maps"
3558378,145,"Internet access"
3558346,95,"Suggested itineraries"
3558378,143,"Access to resources to assist you to plan"
3558378,146,"Information about Maori culture / cultural activities"
3558378,148,"Directions"
3558378,150,"General information about a different region"
3557890,111,"Accommodation in the region you were in"
3558346,93,"Transport/ travel options around New Zealand"
3558346,94,"Event information"
3577631,96,"Accommodation in the region you were in"
3557891,110,"Information about amenities/services for the town you were in"
3558378,151,"Information about amenities/services for the town you were in"
3558378,152,"Accommodation in the region you were in"
3558378,153,"Accommodation in a different region"
3558378,154,"Transport/ travel options around New Zealand"
3558378,155,"Event information"
3577724,78,"Weather information"
3577724,79,"Maps"
3557982,101,"Maps"
3557892,89,"Event information"
3557982,102,"Accommodation in the region you were in"
3557982,103,"Transport/ travel options around New Zealand"
3558378,157,"Suggested itineraries"
3558378,142,"General information about the region you were in"
3558378,147,"Compare prices / find deals"
3558378,149,"Overview of NZ regions"
3558378,156,"Attractions / Activities"
3557892,88,"General information about the region you were in"
3557892,90,"Attractions / Activities"
3557982,104,"Attractions / Activities"
3577772,95,"Directions"
3558000,107,"General information about a different region"
3558446,83,"Maps"
3558453,151,"Weather information"
3558464,78,"Directions"
3577799,126,"Directions"
3557941,133,"Access to resources to assist you to plan"
3577799,128,"General information about a different region"
3577772,94,"General information about the region you were in"
3558453,153,"Attractions / Activities"
3558000,108,"Attractions / Activities"
3557941,132,"General information about the region you were in"
3577799,127,"Overview of NZ regions"
3577772,96,"Information about amenities/services for the town you were in"
3558453,152,"Information about amenities/services for the town you were in"
3577799,129,"Transport/ travel options around New Zealand"
3577799,130,"Attractions / Activities"
3557941,137,"Overview of NZ regions"
3577799,131,"Suggested itineraries"
3557941,136,"Information about Maori culture / cultural activities"
3557941,138,"General information about a different region"
3557941,142,"Suggested itineraries"
3577799,125,"Maps"
3557941,134,"Weather information"
3557941,135,"Maps"
3558478,97,"Weather information"
3557956,101,"Weather information"
3557941,141,"Attractions / Activities"
3558478,98,"Attractions / Activities"
3577842,84,"Attractions / Activities"
3557956,100,"General information about the region you were in"
3557956,107,"Attractions / Activities"
3557956,102,"Maps"
3557957,92,"Maps"
