"SurveyResponseID","AnswerNumber","HobbitExpType"
3577555,109,"The scenery"
3577555,110,"Wanted to see if the scenery was like it was in the film"
3577555,111,"I wanted to visit Hobbiton"
3577584,110,"The scenery"
3577595,144,"The scenery"
3577595,145,"Wanted to see if the scenery was like it was in the film"
3577595,146,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3577595,147,"Wanted to see where the film was made"
3577595,148,"I wanted to visit Hobbiton"
3577595,149,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3577610,117,"The scenery"
3577610,118,"I wanted to visit Hobbiton"
3577610,119,"Something else"
3577620,122,"Something else"
3577635,142,"Wanted to see if the scenery was like it was in the film"
3577654,176,"The scenery"
3577654,177,"Wanted to see where the film was made"
3577654,178,"I wanted to visit Hobbiton"
3577678,122,"Wanted to see if the scenery was like it was in the film"
3577678,123,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3577678,124,"Wanted to see where the film was made"
3577678,125,"I wanted to visit Hobbiton"
3577686,138,"Wanted to see if the scenery was like it was in the film"
3577686,139,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3577699,102,"Wanted to see where the film was made"
3577699,103,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3577714,116,"Wanted to see if the scenery was like it was in the film"
3577714,117,"Wanted to see where the film was made"
3577714,118,"I wanted to visit Hobbiton"
3577761,128,"Wanted to see if the scenery was like it was in the film"
3577761,129,"Wanted to see where the film was made"
3577761,130,"I wanted to visit Hobbiton"
3577769,102,"The scenery"
3577769,103,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3577769,104,"I wanted to visit Hobbiton"
3577791,100,"The scenery"
3577791,101,"I wanted to visit Hobbiton"
3577795,144,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3577795,145,"I wanted to visit Hobbiton"
3577810,109,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3577824,101,"The scenery"
3577837,121,"The scenery"
3577892,156,"Wanted to see if the scenery was like it was in the film"
3577892,157,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3577892,158,"I wanted to visit Hobbiton"
3577898,133,"The scenery"
3577898,134,"Wanted to see if the scenery was like it was in the film"
